tipo,marca,modelo,anio,precio,caracteristica
AUTOMOVIL,Kia,Cerato,2015,50037,5
CAMIONETA,Chevrolet,Silverado,2005,59024,994
AUTOMOVIL,Nissan,Versa,2016,50626,4
AUTOMOVIL,Chevrolet,Cruze,2006,47613,5
CAMIONETA,Toyota,Tacoma,2017,63215,1135
AUTOMOVIL,Honda,Civic,2007,48202,4
AUTOMOVIL,Kia,Cerato,2018,51804,5
CAMIONETA,Chevrolet,Silverado,2008,60791,1276
AUTOMOVIL,Nissan,Versa,2019,52393,4
AUTOMOVIL,Chevrolet,Cruze,2009,49380,5
CAMIONETA,Toyota,Tacoma,2020,64982,1417
AUTOMOVIL,Honda,Civic,2010,49969,4
AUTOMOVIL,Kia,Cerato,2021,53571,5
CAMIONETA,Chevrolet,Silverado,2011,62558,1558
AUTOMOVIL,Nissan,Versa,2022,54160,4
AUTOMOVIL,Chevrolet,Cruze,2012,51147,5
CAMIONETA,Toyota,Tacoma,2023,66749,1699
AUTOMOVIL,Honda,Civic,2013,51736,4
AUTOMOVIL,Kia,Cerato,2024,55338,5
CAMIONETA,Chevrolet,Silverado,2014,64325,690
AUTOMOVIL,Nissan,Versa,2025,55927,4
AUTOMOVIL,Chevrolet,Cruze,2015,52914,5
CAMIONETA,Toyota,Tacoma,2005,61901,831
AUTOMOVIL,Honda,Civic,2016,53503,4
AUTOMOVIL,Kia,Cerato,2006,50490,5
CAMIONETA,Chevrolet,Silverado,2017,66092,972
AUTOMOVIL,Nissan,Versa,2007,51079,4
AUTOMOVIL,Chevrolet,Cruze,2018,54681,5
CAMIONETA,Toyota,Tacoma,2008,63668,1113
AUTOMOVIL,Honda,Civic,2019,55270,4
AUTOMOVIL,Kia,Cerato,2009,52257,5
CAMIONETA,Chevrolet,Silverado,2020,67859,1254
AUTOMOVIL,Nissan,Versa,2010,52846,4
AUTOMOVIL,Chevrolet,Cruze,2021,56448,5
CAMIONETA,Toyota,Tacoma,2011,65435,1395
AUTOMOVIL,Honda,Civic,2022,57037,4
AUTOMOVIL,Kia,Cerato,2012,54024,5
CAMIONETA,Chevrolet,Silverado,2023,69626,1536
AUTOMOVIL,Nissan,Versa,2013,54613,4
AUTOMOVIL,Chevrolet,Cruze,2024,58215,5
CAMIONETA,Toyota,Tacoma,2014,67202,1677
AUTOMOVIL,Honda,Civic,2025,58804,4
AUTOMOVIL,Kia,Cerato,2015,55791,5
CAMIONETA,Chevrolet,Silverado,2005,64778,668
AUTOMOVIL,Nissan,Versa,2016,56380,4
AUTOMOVIL,Chevrolet,Cruze,2006,53367,5
CAMIONETA,Toyota,Tacoma,2017,68969,809
AUTOMOVIL,Honda,Civic,2007,53956,4
AUTOMOVIL,Kia,Cerato,2018,57558,5
CAMIONETA,Chevrolet,Silverado,2008,66545,950
AUTOMOVIL,Nissan,Versa,2019,58147,4
AUTOMOVIL,Chevrolet,Cruze,2009,55134,5
CAMIONETA,Toyota,Tacoma,2020,70736,1091
AUTOMOVIL,Honda,Civic,2010,55723,4
AUTOMOVIL,Kia,Cerato,2021,59325,5
CAMIONETA,Chevrolet,Silverado,2011,68312,1232
AUTOMOVIL,Nissan,Versa,2022,17914,4
AUTOMOVIL,Chevrolet,Cruze,2012,14901,5
CAMIONETA,Toyota,Tacoma,2023,30503,1373
AUTOMOVIL,Honda,Civic,2013,15490,4
AUTOMOVIL,Kia,Cerato,2024,19092,5
CAMIONETA,Chevrolet,Silverado,2014,28079,1514
AUTOMOVIL,Nissan,Versa,2025,19681,4
AUTOMOVIL,Chevrolet,Cruze,2015,16668,5
CAMIONETA,Toyota,Tacoma,2005,25655,1655
AUTOMOVIL,Honda,Civic,2016,17257,4
AUTOMOVIL,Kia,Cerato,2006,14244,5
CAMIONETA,Chevrolet,Silverado,2017,29846,1796
AUTOMOVIL,Nissan,Versa,2007,14833,4
AUTOMOVIL,Chevrolet,Cruze,2018,18435,5
CAMIONETA,Toyota,Tacoma,2008,27422,787
AUTOMOVIL,Honda,Civic,2019,19024,4
AUTOMOVIL,Kia,Cerato,2009,16011,5
CAMIONETA,Chevrolet,Silverado,2020,31613,928
AUTOMOVIL,Nissan,Versa,2010,16600,4
AUTOMOVIL,Chevrolet,Cruze,2021,20202,5
CAMIONETA,Toyota,Tacoma,2011,29189,1069
AUTOMOVIL,Honda,Civic,2022,20791,4
AUTOMOVIL,Kia,Cerato,2012,17778,5
CAMIONETA,Chevrolet,Silverado,2023,33380,1210
AUTOMOVIL,Nissan,Versa,2013,18367,4
AUTOMOVIL,Chevrolet,Cruze,2024,21969,5
CAMIONETA,Toyota,Tacoma,2014,30956,1351
AUTOMOVIL,Honda,Civic,2025,22558,4
AUTOMOVIL,Kia,Cerato,2015,19545,5
CAMIONETA,Chevrolet,Silverado,2005,28532,1492
AUTOMOVIL,Nissan,Versa,2016,20134,4
AUTOMOVIL,Chevrolet,Cruze,2006,17121,5
CAMIONETA,Toyota,Tacoma,2017,32723,1633
AUTOMOVIL,Honda,Civic,2007,17710,4
AUTOMOVIL,Kia,Cerato,2018,21312,5
CAMIONETA,Chevrolet,Silverado,2008,30299,1774
AUTOMOVIL,Nissan,Versa,2019,21901,4
AUTOMOVIL,Chevrolet,Cruze,2009,18888,5
CAMIONETA,Toyota,Tacoma,2020,34490,765
AUTOMOVIL,Honda,Civic,2010,19477,4
AUTOMOVIL,Kia,Cerato,2021,23079,5
CAMIONETA,Chevrolet,Silverado,2011,32066,906
AUTOMOVIL,Nissan,Versa,2022,23668,4
AUTOMOVIL,Chevrolet,Cruze,2012,20655,5
CAMIONETA,Toyota,Tacoma,2023,36257,1047
AUTOMOVIL,Honda,Civic,2013,21244,4
AUTOMOVIL,Kia,Cerato,2024,24846,5
CAMIONETA,Chevrolet,Silverado,2014,33833,1188
AUTOMOVIL,Nissan,Versa,2025,25435,4
AUTOMOVIL,Chevrolet,Cruze,2015,22422,5
CAMIONETA,Toyota,Tacoma,2005,31409,1329
AUTOMOVIL,Honda,Civic,2016,23011,4
AUTOMOVIL,Kia,Cerato,2006,19998,5
CAMIONETA,Chevrolet,Silverado,2017,35600,1470
AUTOMOVIL,Nissan,Versa,2007,20587,4
AUTOMOVIL,Chevrolet,Cruze,2018,24189,5
CAMIONETA,Toyota,Tacoma,2008,33176,1611
AUTOMOVIL,Honda,Civic,2019,24778,4
AUTOMOVIL,Kia,Cerato,2009,21765,5
CAMIONETA,Chevrolet,Silverado,2020,37367,1752
AUTOMOVIL,Nissan,Versa,2010,22354,4
AUTOMOVIL,Chevrolet,Cruze,2021,25956,5
CAMIONETA,Toyota,Tacoma,2011,34943,743
AUTOMOVIL,Honda,Civic,2022,26545,4
AUTOMOVIL,Kia,Cerato,2012,23532,5
CAMIONETA,Chevrolet,Silverado,2023,39134,884
AUTOMOVIL,Nissan,Versa,2013,24121,4
AUTOMOVIL,Chevrolet,Cruze,2024,27723,5
CAMIONETA,Toyota,Tacoma,2014,36710,1025
AUTOMOVIL,Honda,Civic,2025,28312,4
AUTOMOVIL,Kia,Cerato,2015,25299,5
CAMIONETA,Chevrolet,Silverado,2005,34286,1166
AUTOMOVIL,Nissan,Versa,2016,25888,4
AUTOMOVIL,Chevrolet,Cruze,2006,22875,5
CAMIONETA,Toyota,Tacoma,2017,38477,1307
AUTOMOVIL,Honda,Civic,2007,23464,4
AUTOMOVIL,Kia,Cerato,2018,27066,5
CAMIONETA,Chevrolet,Silverado,2008,36053,1448
AUTOMOVIL,Nissan,Versa,2019,27655,4
AUTOMOVIL,Chevrolet,Cruze,2009,24642,5
CAMIONETA,Toyota,Tacoma,2020,40244,1589
AUTOMOVIL,Honda,Civic,2010,25231,4
AUTOMOVIL,Kia,Cerato,2021,28833,5
CAMIONETA,Chevrolet,Silverado,2011,37820,1730
AUTOMOVIL,Nissan,Versa,2022,29422,4
AUTOMOVIL,Chevrolet,Cruze,2012,26409,5
CAMIONETA,Toyota,Tacoma,2023,42011,721
AUTOMOVIL,Honda,Civic,2013,26998,4
AUTOMOVIL,Kia,Cerato,2024,30600,5
CAMIONETA,Chevrolet,Silverado,2014,39587,862
AUTOMOVIL,Nissan,Versa,2025,31189,4
AUTOMOVIL,Chevrolet,Cruze,2015,28176,5
CAMIONETA,Toyota,Tacoma,2005,37163,1003
AUTOMOVIL,Honda,Civic,2016,28765,4
AUTOMOVIL,Kia,Cerato,2006,25752,5
CAMIONETA,Chevrolet,Silverado,2017,41354,1144
AUTOMOVIL,Nissan,Versa,2007,26341,4
AUTOMOVIL,Chevrolet,Cruze,2018,29943,5
CAMIONETA,Toyota,Tacoma,2008,38930,1285
AUTOMOVIL,Honda,Civic,2019,30532,4
AUTOMOVIL,Kia,Cerato,2009,27519,5
CAMIONETA,Chevrolet,Silverado,2020,43121,1426
AUTOMOVIL,Nissan,Versa,2010,28108,4
AUTOMOVIL,Chevrolet,Cruze,2021,31710,5
CAMIONETA,Toyota,Tacoma,2011,40697,1567
AUTOMOVIL,Honda,Civic,2022,32299,4
AUTOMOVIL,Kia,Cerato,2012,29286,5
CAMIONETA,Chevrolet,Silverado,2023,44888,1708
AUTOMOVIL,Nissan,Versa,2013,29875,4
AUTOMOVIL,Chevrolet,Cruze,2024,33477,5
CAMIONETA,Toyota,Tacoma,2014,42464,699
AUTOMOVIL,Honda,Civic,2025,34066,4
AUTOMOVIL,Kia,Cerato,2015,31053,5
CAMIONETA,Chevrolet,Silverado,2005,40040,840
AUTOMOVIL,Nissan,Versa,2016,31642,4
AUTOMOVIL,Chevrolet,Cruze,2006,28629,5
CAMIONETA,Toyota,Tacoma,2017,44231,981
AUTOMOVIL,Honda,Civic,2007,29218,4
AUTOMOVIL,Kia,Cerato,2018,32820,5
CAMIONETA,Chevrolet,Silverado,2008,41807,1122
AUTOMOVIL,Nissan,Versa,2019,33409,4
AUTOMOVIL,Chevrolet,Cruze,2009,30396,5
CAMIONETA,Toyota,Tacoma,2020,45998,1263
AUTOMOVIL,Honda,Civic,2010,30985,4
AUTOMOVIL,Kia,Cerato,2021,34587,5
CAMIONETA,Chevrolet,Silverado,2011,43574,1404
AUTOMOVIL,Nissan,Versa,2022,35176,4
AUTOMOVIL,Chevrolet,Cruze,2012,32163,5
CAMIONETA,Toyota,Tacoma,2023,47765,1545
AUTOMOVIL,Honda,Civic,2013,32752,4
AUTOMOVIL,Kia,Cerato,2024,36354,5
CAMIONETA,Chevrolet,Silverado,2014,45341,1686
AUTOMOVIL,Nissan,Versa,2025,36943,4
AUTOMOVIL,Chevrolet,Cruze,2015,33930,5
CAMIONETA,Toyota,Tacoma,2005,42917,677
AUTOMOVIL,Honda,Civic,2016,34519,4
AUTOMOVIL,Kia,Cerato,2006,31506,5
CAMIONETA,Chevrolet,Silverado,2017,47108,818
AUTOMOVIL,Nissan,Versa,2007,32095,4
AUTOMOVIL,Chevrolet,Cruze,2018,35697,5
CAMIONETA,Toyota,Tacoma,2008,44684,959
AUTOMOVIL,Honda,Civic,2019,36286,4
AUTOMOVIL,Kia,Cerato,2009,33273,5
CAMIONETA,Chevrolet,Silverado,2020,48875,1100
AUTOMOVIL,Nissan,Versa,2010,33862,4
AUTOMOVIL,Chevrolet,Cruze,2021,37464,5
CAMIONETA,Toyota,Tacoma,2011,46451,1241
AUTOMOVIL,Honda,Civic,2022,38053,4
AUTOMOVIL,Kia,Cerato,2012,35040,5
CAMIONETA,Chevrolet,Silverado,2023,50642,1382
AUTOMOVIL,Nissan,Versa,2013,35629,4
AUTOMOVIL,Chevrolet,Cruze,2024,39231,5
CAMIONETA,Toyota,Tacoma,2014,48218,1523
AUTOMOVIL,Honda,Civic,2025,39820,4
AUTOMOVIL,Kia,Cerato,2015,36807,5
CAMIONETA,Chevrolet,Silverado,2005,45794,1664
AUTOMOVIL,Nissan,Versa,2016,37396,4
AUTOMOVIL,Chevrolet,Cruze,2006,34383,5
CAMIONETA,Toyota,Tacoma,2017,49985,655
AUTOMOVIL,Honda,Civic,2007,34972,4
AUTOMOVIL,Kia,Cerato,2018,38574,5
CAMIONETA,Chevrolet,Silverado,2008,47561,796
AUTOMOVIL,Nissan,Versa,2019,39163,4
AUTOMOVIL,Chevrolet,Cruze,2009,36150,5
CAMIONETA,Toyota,Tacoma,2020,51752,937
AUTOMOVIL,Honda,Civic,2010,36739,4
AUTOMOVIL,Kia,Cerato,2021,40341,5
CAMIONETA,Chevrolet,Silverado,2011,49328,1078
AUTOMOVIL,Nissan,Versa,2022,40930,4
AUTOMOVIL,Chevrolet,Cruze,2012,37917,5
CAMIONETA,Toyota,Tacoma,2023,53519,1219
AUTOMOVIL,Honda,Civic,2013,38506,4
AUTOMOVIL,Kia,Cerato,2024,42108,5
CAMIONETA,Chevrolet,Silverado,2014,51095,1360
AUTOMOVIL,Nissan,Versa,2025,42697,4
AUTOMOVIL,Chevrolet,Cruze,2015,39684,5
CAMIONETA,Toyota,Tacoma,2005,48671,1501
AUTOMOVIL,Honda,Civic,2016,40273,4
AUTOMOVIL,Kia,Cerato,2006,37260,5
CAMIONETA,Chevrolet,Silverado,2017,52862,1642
AUTOMOVIL,Nissan,Versa,2007,37849,4
AUTOMOVIL,Chevrolet,Cruze,2018,41451,5
CAMIONETA,Toyota,Tacoma,2008,50438,1783
AUTOMOVIL,Honda,Civic,2019,42040,4
AUTOMOVIL,Kia,Cerato,2009,39027,5
CAMIONETA,Chevrolet,Silverado,2020,54629,774
AUTOMOVIL,Nissan,Versa,2010,39616,4
AUTOMOVIL,Chevrolet,Cruze,2021,43218,5
CAMIONETA,Toyota,Tacoma,2011,52205,915
AUTOMOVIL,Honda,Civic,2022,43807,4
AUTOMOVIL,Kia,Cerato,2012,40794,5
CAMIONETA,Chevrolet,Silverado,2023,56396,1056
AUTOMOVIL,Nissan,Versa,2013,41383,4
AUTOMOVIL,Chevrolet,Cruze,2024,44985,5
CAMIONETA,Toyota,Tacoma,2014,53972,1197
AUTOMOVIL,Honda,Civic,2025,45574,4
